amountOfVerbs,amountOfPronouns,amountOfNouns,amountOfAdjectives,amountOfAdverbs,restOfWords,totalAmount,id
3,0,5,2,4,6,20,1239
3,2,4,2,0,3,14,1240
3,3,6,6,1,5,24,1241
1,0,11,1,0,1,14,1242
3,2,4,1,0,4,14,1243
1,1,3,0,0,0,5,1244
3,1,9,3,0,2,18,1245
2,2,5,0,1,3,13,1249
4,2,6,2,0,4,18,1250
2,0,6,2,1,3,14,1251
0,0,3,2,0,0,5,1252
1,1,1,0,0,3,6,1253
2,1,3,1,0,4,11,1254
0,1,3,0,0,2,6,1259
6,0,6,1,0,4,17,1262
0,0,6,3,1,0,10,1263
1,1,5,0,0,4,11,1264
0,0,2,1,0,0,3,1267
0,0,6,1,0,0,7,1269
0,1,10,0,0,1,12,1270
1,1,9,3,0,4,18,1271
1,0,2,0,0,2,5,1272
2,1,4,3,1,2,13,1273
4,1,8,1,0,7,21,1275
2,0,4,1,0,1,8,1276
2,2,5,2,1,5,17,1277
3,2,7,2,0,8,22,1278
1,1,4,0,0,2,8,1279
3,0,1,2,1,0,7,1280
1,0,1,2,1,0,5,1282
4,1,7,0,1,4,17,1283
3,2,9,0,0,0,14,1284
1,0,4,0,1,2,8,1287
1,1,6,2,2,4,16,1288
2,0,6,0,0,2,10,1289
5,1,14,2,0,3,25,1290
2,0,4,2,1,2,11,1293
5,0,8,2,0,8,23,1294
0,0,4,0,1,0,5,1296
2,0,10,3,0,3,18,1297
2,2,5,0,1,8,18,1298
4,6,6,3,0,2,21,1300
5,3,9,1,4,4,26,1301
0,0,2,1,0,0,3,1302
1,0,4,2,0,0,7,1303
4,2,9,3,2,9,29,1304
3,0,9,1,0,4,17,1305
4,1,7,1,0,7,20,1307
3,5,7,1,1,9,26,1308
2,2,3,1,2,0,10,1309
5,3,9,2,1,4,24,1312
0,0,4,1,0,0,5,1315
0,0,6,0,0,2,8,1316
4,2,7,1,1,6,21,1317
0,0,4,0,0,1,5,1318
3,0,4,3,0,4,14,1319
5,4,5,1,2,2,19,1320
2,2,6,1,2,3,16,1321
5,2,6,1,0,6,20,1324
1,0,7,2,1,1,12,1326
0,0,14,1,0,2,17,1327
3,0,5,0,1,1,10,1328
5,2,9,0,1,5,22,1331
6,3,6,1,0,7,23,1332
5,0,7,1,2,9,24,1334
2,0,3,1,0,3,9,1335
0,0,2,1,1,1,5,1337
1,0,4,0,0,1,6,1338
0,0,21,0,0,1,22,1340
3,0,8,2,1,3,17,1341
2,0,2,0,3,2,9,1343
2,2,2,0,0,3,9,1345
2,0,5,2,0,6,15,1346
6,0,6,1,1,12,26,1347
4,1,6,1,1,5,18,1348
4,1,8,1,0,8,22,1349
2,0,12,0,0,3,17,1350
4,4,5,1,1,4,19,1351
3,0,5,1,2,6,17,1352
5,2,4,4,2,6,23,1353
7,2,4,0,2,6,21,1354
4,0,9,0,1,8,22,1356
7,4,2,2,4,6,25,1360
5,0,5,1,1,5,17,1361
5,1,3,2,0,3,14,1362
2,1,9,3,0,5,20,1363
6,3,4,0,1,3,17,1365
5,1,10,0,0,7,23,1368
8,0,4,3,4,9,28,1369
0,0,2,0,3,1,6,1371
1,2,9,0,1,1,14,1372
2,0,2,0,0,4,8,1374
7,4,6,1,1,9,28,1375
3,0,3,1,3,1,11,1376
4,0,7,0,1,8,20,1378
0,0,19,0,0,0,19,1379
0,0,19,0,0,0,19,1380
7,3,7,0,1,13,31,1381
6,4,4,3,0,8,25,1382
1,0,18,0,0,1,20,1383
0,0,14,1,0,1,16,1384
0,0,14,1,0,1,16,1385
0,0,11,0,0,0,11,1388
1,0,14,0,0,1,16,1389
1,0,9,3,0,7,20,1390
0,0,19,0,0,0,19,1391
0,0,10,2,1,0,13,1393
2,0,17,1,0,1,21,1394
6,4,7,1,1,9,28,1395
1,0,18,0,0,0,19,1396
0,0,16,1,0,2,19,1399
1,0,13,0,0,1,15,1401
1,0,14,0,0,0,15,1402
0,0,10,2,1,0,13,1405
2,0,15,2,0,1,20,1406
0,0,14,1,0,1,16,1407
0,0,19,0,0,0,19,1408
1,0,14,0,0,0,15,1409
3,1,4,0,0,5,13,1411
1,0,14,1,0,0,16,1412
1,0,14,0,1,0,16,1414
1,0,13,2,0,2,18,1415
1,0,16,2,0,2,21,1418
0,0,14,1,0,1,16,1419
1,0,14,0,0,0,15,1420
0,1,7,0,0,3,11,1421
1,0,18,0,0,0,19,1422
3,2,9,1,2,6,23,1425
7,2,4,1,1,6,21,1429
3,2,3,2,0,0,10,1431
2,0,2,1,1,0,6,1432
3,0,6,1,0,5,15,1433
4,2,12,1,0,1,20,1436
5,4,7,3,0,8,27,1439
2,0,2,0,0,0,4,1440
2,1,4,1,0,3,11,1441
0,1,6,1,1,0,9,1443
1,0,4,0,0,0,5,1444
1,0,3,0,0,0,4,1445
4,2,7,1,2,7,23,1447
2,0,7,1,0,4,14,1448
2,2,5,0,0,4,13,1449
5,2,4,2,2,3,18,1450
2,0,6,1,0,2,11,1452
2,2,7,1,1,2,15,1453
4,2,6,2,2,5,21,1454
4,2,3,1,2,1,13,1455
1,0,7,0,0,2,10,1456
5,3,7,1,1,5,22,1458
4,3,8,1,0,7,23,1459
4,3,11,4,1,2,25,1460
4,1,10,3,2,8,28,1463
3,0,9,4,0,5,21,1464
3,0,8,1,0,0,12,1466
5,2,4,2,2,5,20,1467
5,0,10,2,1,4,22,1470
6,4,1,0,0,2,13,1472
2,0,8,2,0,1,13,1473
0,0,2,1,2,1,6,1474
2,0,4,0,0,3,9,1475
1,2,4,1,2,1,11,1477
5,1,6,1,0,4,17,1479
0,0,16,0,0,3,19,1480
0,0,10,0,0,1,11,1482
0,0,14,0,0,1,15,1483
0,0,12,0,0,0,12,1484
1,0,4,0,0,4,9,1485
0,0,11,0,0,1,12,1486
2,0,7,1,1,3,14,1487
1,0,12,1,0,8,22,1488
0,0,3,0,0,0,3,1491
3,4,9,0,0,10,26,1493
4,0,12,0,0,6,22,1494
0,0,12,0,0,0,12,1495
3,0,11,1,0,8,23,1497
1,0,13,0,0,0,14,1498
0,0,13,0,0,0,13,1499
2,0,3,0,0,1,6,1500
0,0,14,0,0,1,15,1501
3,0,10,1,0,5,19,1502
2,2,7,3,0,8,22,1503
0,0,3,0,0,0,3,1504
3,0,8,2,3,1,17,1505
2,1,14,2,0,1,20,1506
0,0,14,0,0,0,14,1507
0,0,14,0,0,0,14,1508
0,0,4,1,0,2,7,1509
2,1,4,2,0,2,11,1510
0,0,13,0,0,0,13,1511
6,3,11,1,0,5,26,1513
1,0,6,2,1,4,14,1514
2,0,5,0,0,2,9,1515
2,1,4,0,0,1,8,1518
5,4,5,3,3,5,25,1519
0,0,17,0,0,0,17,1520
2,0,12,3,0,0,17,1521
0,0,13,0,0,0,13,1522
2,0,3,1,0,0,6,1523
2,1,10,1,2,2,18,1524
0,0,12,0,0,1,13,1525
5,0,13,0,0,5,23,1526
0,0,15,0,0,0,15,1527
1,2,8,3,0,6,20,1530
0,0,10,2,0,1,13,1531
1,0,10,1,0,8,20,1532
2,0,5,0,0,4,11,1533
3,0,4,0,0,3,10,1534
2,0,9,1,1,9,22,1535
0,0,5,1,0,0,6,1537
0,0,7,0,0,0,7,1538
3,3,4,2,1,2,15,1540
2,0,4,0,1,2,9,1543
1,0,6,1,0,3,11,1544
2,0,8,0,0,1,11,1545
1,1,3,1,0,0,6,1546
4,3,5,2,0,2,16,1547
3,2,4,0,0,5,14,1549
2,0,3,2,1,1,9,1553
2,0,8,0,0,1,11,1554
1,0,4,0,0,2,7,1555
5,1,8,2,0,6,22,1556
0,0,4,1,0,0,5,1558
1,1,4,0,0,2,8,1559
5,2,5,4,3,3,22,1560
5,5,7,0,0,12,29,1561
1,0,4,1,0,3,9,1562
1,0,3,1,0,1,6,1567
0,0,3,1,0,2,6,1568
3,2,9,0,0,7,21,1569
0,0,3,1,3,0,7,1570
3,1,5,2,1,3,15,1572
1,0,6,1,0,2,10,1573
1,0,9,0,0,6,16,1574
2,0,9,1,1,9,22,1575
2,1,11,4,1,5,24,1576
1,0,3,1,0,0,5,1577
3,0,11,0,3,6,23,1579
1,1,3,0,0,0,5,1580
4,0,9,1,2,5,21,1582
3,0,9,0,1,6,19,1585
0,0,7,1,0,2,10,1587
3,1,3,0,0,1,8,1588
4,0,12,0,0,6,22,1590
1,0,3,0,0,3,7,1591
4,0,6,1,3,8,22,1593
3,0,10,0,2,7,22,1594
3,0,7,1,0,8,19,1595
2,0,12,2,1,11,28,1596
1,0,2,0,0,0,3,1597
3,0,7,3,0,9,22,1599
0,0,5,2,0,9,16,1600
5,4,5,1,0,6,21,1601
2,0,1,1,0,0,4,1602
0,0,5,0,0,3,8,1603
2,0,12,0,0,0,14,1604
5,1,5,0,1,6,18,1605
0,0,7,1,0,1,9,1607
4,2,9,1,2,6,24,1608
3,0,9,3,2,3,20,1609
3,0,5,2,1,4,15,1610
5,1,4,0,1,5,16,1611
2,1,4,2,0,0,9,1613
3,0,7,0,1,5,16,1614
5,1,7,1,2,5,21,1615
0,0,6,0,0,3,9,1617
7,4,5,0,0,9,25,1618
1,1,7,1,0,1,11,1619
5,1,10,0,0,9,25,1621
2,1,4,0,1,0,8,1622
2,2,4,2,1,3,14,1623
1,0,7,0,1,4,13,1625
3,2,8,3,1,8,25,1626
0,1,3,1,1,1,7,1627
1,0,3,0,0,0,4,1628
2,0,8,0,0,3,13,1631
3,0,7,0,0,8,18,1632
2,0,5,1,0,4,12,1633
2,0,9,3,2,8,24,1634
4,1,7,1,0,9,22,1636
2,0,10,0,0,7,19,1637
5,0,5,5,1,4,20,1638
2,0,6,1,0,4,13,1639
2,0,9,1,0,4,16,1643
1,0,9,2,0,2,14,1644
1,0,4,1,2,2,10,1645
2,0,5,1,0,4,12,1646
1,0,4,2,0,1,8,1647
0,0,8,0,0,1,9,1648
0,0,8,0,0,1,9,1649
0,0,8,0,0,1,9,1650
0,0,8,0,0,1,9,1652
1,0,12,3,0,10,26,1653
1,0,7,1,1,0,10,1654
1,0,8,1,0,4,14,1657
1,0,5,1,0,2,9,1658
1,0,6,1,0,3,11,1660
2,0,10,3,1,4,20,1661
2,2,3,1,0,4,12,1662
3,1,2,1,0,1,8,1663
2,0,9,3,2,8,24,1665
2,1,3,1,0,4,11,1666
3,0,11,1,0,6,21,1669
1,0,6,1,0,2,10,1670
2,0,8,0,0,6,16,1671
1,0,9,3,2,3,18,1672
1,0,8,0,0,3,12,1673
0,0,16,0,0,1,17,1675
1,0,11,1,0,7,20,1676
1,0,4,2,0,4,11,1677
1,1,10,1,1,4,18,1679
2,2,7,0,1,10,22,1683
0,0,9,1,0,0,10,1684
1,0,9,1,1,1,13,1686
2,0,4,2,0,3,11,1687
1,0,9,0,0,3,13,1688
1,0,12,1,0,3,17,1689
2,0,4,2,0,3,11,1690
5,2,7,0,0,12,26,1691
1,0,7,2,0,4,14,1692
2,0,5,2,0,4,13,1693
3,1,6,3,1,6,20,1694
3,2,9,1,1,6,22,1698
2,0,4,2,0,3,11,1699
2,0,4,2,0,3,11,1700
2,0,7,2,0,3,14,1701
1,0,8,0,0,3,12,1702
4,0,10,1,2,6,23,1703
2,0,4,2,0,3,11,1705
2,0,4,2,0,3,11,1706
1,0,11,1,0,7,20,1707
1,0,8,0,0,3,12,1709
0,0,7,0,0,1,8,1710
2,0,10,1,0,10,23,1712
1,0,12,0,0,3,16,1715
2,0,4,2,0,3,11,1716
5,3,5,1,3,3,20,1718
2,0,8,0,0,6,16,1719
6,2,7,0,2,5,22,1720
1,0,2,1,1,7,12,1721
2,0,8,1,0,4,15,1722
2,0,8,0,0,1,11,1723
5,2,6,1,0,3,17,1724
5,1,7,0,1,7,21,1725
1,0,8,1,0,1,11,1726
2,1,4,1,0,2,10,1727
2,1,7,0,2,8,20,1728
3,1,12,5,2,4,27,1731
2,1,7,1,2,3,16,1733
3,0,7,3,1,7,21,1735
2,0,3,1,0,0,6,1737
7,1,6,0,1,2,17,1739
4,1,7,2,1,8,23,1740
4,0,3,1,0,3,11,1741
4,5,4,1,4,4,22,1744
1,0,1,1,0,2,5,1745
4,1,4,1,1,2,13,1747
2,0,7,2,3,4,18,1750
1,1,9,0,0,5,16,1752
3,0,8,2,0,5,18,1753
3,1,5,2,1,4,16,1754
4,4,5,2,1,3,19,1755
3,1,7,1,0,4,16,1756
3,1,4,0,0,3,11,1757
4,3,4,1,0,3,15,1759
2,1,9,3,1,7,23,1760
1,0,4,0,0,0,5,1761
3,0,4,1,0,1,9,1762
3,0,6,0,0,5,14,1763
4,1,9,2,0,6,22,1766
3,1,3,1,0,2,10,1767
2,0,10,0,0,5,17,1768
4,1,11,3,1,2,22,1769
0,0,13,1,0,5,19,1770
1,0,7,2,0,4,14,1771
2,0,8,1,0,6,17,1772
1,0,7,2,0,4,14,1773
1,0,8,0,0,4,13,1774
1,0,5,0,0,4,10,1775
0,0,6,1,0,2,9,1776
2,1,6,0,0,4,13,1779
1,0,10,2,0,10,23,1780
5,1,5,4,2,2,19,1784
2,1,9,0,1,6,19,1786
2,1,6,1,0,5,15,1787
2,1,7,4,0,4,18,1789
1,0,3,0,0,3,7,1790
4,0,7,1,1,6,19,1791
5,3,6,0,1,6,21,1792
3,1,11,0,1,7,23,1796
2,1,10,0,0,7,20,1798
1,0,9,2,0,3,15,1799
2,0,13,1,0,6,22,1802
4,2,8,2,1,2,19,1803
3,1,8,0,1,3,16,1804
1,0,3,0,0,3,7,1807
1,0,9,0,1,4,15,1808
4,1,7,1,0,7,20,1809
1,0,10,0,0,8,19,1810
4,0,8,3,2,4,21,1811
2,1,4,0,1,4,12,1812
6,2,5,1,0,6,20,1813
4,0,9,0,0,7,20,1814
1,0,9,2,0,4,16,1815
3,0,12,1,0,5,21,1816
2,0,10,0,0,7,19,1817
2,1,11,1,1,3,19,1818
1,2,22,0,0,0,25,1821
4,0,7,0,0,3,14,1822
3,2,2,3,3,3,16,1823
6,6,6,1,1,4,24,1824
5,1,12,1,3,5,27,1826
1,1,1,0,0,0,3,1827
3,0,2,0,1,0,6,1831
5,2,5,1,0,8,21,1832
4,2,8,0,1,7,22,1833
3,2,7,2,3,8,25,1834
4,1,7,2,3,7,24,1835
9,2,6,2,0,7,26,1836
4,1,3,0,0,3,11,1837
3,1,5,2,1,5,17,1838
3,0,5,1,0,4,13,1840
2,0,2,1,1,2,8,1841
3,0,2,4,0,1,10,1842
3,3,5,0,0,4,15,1845
4,1,3,0,0,2,10,1847
3,0,3,1,2,0,9,1848
6,1,5,4,2,8,26,1851
3,0,4,2,1,4,14,1852
2,4,7,0,0,2,15,1853
1,0,2,1,2,1,7,1856
3,2,5,4,2,6,22,1857
6,2,2,1,3,5,19,1860
3,0,13,0,0,4,20,1861
1,0,6,2,0,4,13,1863
2,3,3,0,0,4,12,1864
3,0,9,2,0,4,18,1865
1,1,16,0,0,2,20,1866
2,2,3,0,1,2,10,1869
5,0,12,0,0,6,23,1870
2,2,4,0,1,2,11,1873
3,2,6,0,0,4,15,1875
4,1,8,3,0,2,18,1877
2,0,12,0,0,3,17,1878
2,0,8,2,0,4,16,1880
5,3,5,1,0,6,20,1881
1,0,9,2,2,4,18,1882
2,1,5,4,1,6,19,1883
1,0,10,1,0,5,17,1885
2,1,2,0,1,1,7,1886
1,0,5,0,0,1,7,1887
2,0,6,0,1,3,12,1888
4,1,7,1,0,4,17,1889
0,0,10,5,0,5,20,1890
2,1,2,0,0,3,8,1892
3,1,10,1,2,0,17,1893
2,0,3,0,0,1,6,1895
3,0,9,2,0,4,18,1897
7,2,8,1,0,8,26,1898
2,1,1,0,0,0,4,1899
1,0,7,1,1,3,13,1900
1,0,8,0,1,1,11,1901
1,1,6,0,0,1,9,1905
4,1,2,1,0,1,9,1908
3,1,7,2,0,5,18,1909
3,3,2,2,2,2,14,1910
2,0,2,0,1,3,8,1911
1,0,4,2,0,6,13,1914
5,0,9,0,0,5,19,1915
3,3,7,1,1,3,18,1916
4,0,4,0,3,5,16,1917
2,0,12,2,0,1,17,1918
0,0,10,1,0,2,13,1919
5,0,5,5,6,7,28,1920
4,0,11,0,0,5,20,1921
2,0,8,0,0,1,11,1922
2,1,7,1,2,3,16,1924
6,3,4,1,3,10,27,1925
2,1,11,1,0,1,16,1927
2,1,7,0,2,8,20,1929
3,1,9,0,1,8,22,1932
7,3,4,0,0,7,21,1933
1,0,21,0,0,1,23,1935
2,0,10,0,0,3,15,1937
2,0,12,2,0,2,18,1938
5,0,10,1,0,5,21,1939
4,1,13,2,1,8,29,1940
5,1,7,0,1,7,21,1941
2,0,4,0,2,2,10,1942
1,0,4,0,0,0,5,1943
5,2,4,1,2,9,23,1945
3,0,9,2,1,4,19,1948
3,2,6,2,1,5,19,1949
2,1,9,3,1,7,23,1950
5,4,7,0,1,6,23,1951
2,0,5,3,0,1,11,1952
7,2,5,0,0,5,19,1953
2,0,7,0,0,4,13,1954
6,2,7,0,1,5,21,1955
7,1,6,0,1,4,19,1956
2,1,4,1,0,2,10,1957
3,1,9,0,0,4,17,1959
3,0,6,0,0,5,14,1960
2,0,5,0,0,2,9,1961
2,0,7,2,3,4,18,1962
3,3,3,2,0,5,16,1963
5,2,6,0,2,6,21,1965
4,1,7,3,1,6,22,1966
3,2,9,0,1,9,24,1967
1,1,9,0,0,5,16,1968
4,1,6,1,0,9,21,1969
0,0,6,1,0,1,8,1971
6,3,6,0,0,9,24,1972
3,3,8,5,0,8,27,1973
3,0,13,2,1,6,25,1975
3,1,4,3,0,6,17,1976
1,0,6,1,0,2,10,1979
0,0,8,1,1,2,12,1980
3,0,13,2,1,6,25,1981
3,0,5,1,0,4,13,1983
3,0,8,0,0,5,16,1985
4,2,6,1,0,4,17,1986
2,0,6,2,2,4,16,1987
0,0,3,1,0,1,5,1989
0,0,3,1,0,3,7,1990
6,1,7,2,0,8,24,1991
3,2,2,2,2,2,13,1992
4,1,5,2,2,8,22,1994
0,0,8,1,1,2,12,1995
3,0,10,2,1,2,18,1996
3,0,13,2,1,6,25,1999
2,0,12,1,0,5,20,2000
3,2,2,2,3,7,19,2001
6,1,6,1,1,2,17,2003
3,0,13,2,1,6,25,2006
1,0,3,1,1,2,8,2007
1,1,5,2,0,7,16,2009
2,0,12,0,1,2,17,2010
3,1,11,1,0,9,25,2012
1,0,5,1,0,3,10,2014
1,0,6,2,0,2,11,2015
1,0,8,0,0,2,11,2016
5,2,6,3,0,10,26,2017
0,0,10,2,0,6,18,2019
5,0,4,2,3,5,19,2020
1,0,12,0,0,9,22,2022
1,0,12,0,1,2,16,2023
1,0,4,2,0,4,11,2024
2,2,4,2,3,9,22,2026
1,0,2,0,0,2,5,2027
4,3,3,2,3,7,22,2028
1,0,8,1,0,5,15,2031
1,1,22,0,0,0,24,2033
4,1,8,0,1,8,22,2034
1,0,8,1,0,3,13,2035
1,0,9,1,0,2,13,2036
1,2,9,2,1,5,20,2038
5,2,6,2,0,9,24,2039
0,0,7,1,0,1,9,2040
4,1,8,0,2,3,18,2042
3,0,10,1,0,5,19,2043
2,0,9,2,0,4,17,2045
3,0,9,1,0,4,17,2046
1,0,7,2,0,5,15,2047
0,0,8,2,0,4,14,2049
2,0,2,2,0,1,7,2050
2,0,7,2,0,4,15,2051
2,0,14,0,1,2,19,2055
5,2,2,0,1,5,15,2056
0,0,7,2,0,5,14,2057
2,1,3,1,0,2,9,2058
0,0,6,0,2,4,12,2059
2,1,13,0,0,2,18,2060
3,0,10,1,0,8,22,2061
0,0,13,2,1,5,21,2063
4,1,10,0,0,7,22,2064
2,0,9,2,0,7,20,2067
2,0,4,4,1,5,16,2068
4,0,11,2,0,7,24,2069
3,0,11,0,0,2,16,2070
0,0,3,0,0,3,6,2071
3,1,8,2,1,3,18,2073
1,1,10,1,0,4,17,2074
0,0,10,0,0,1,11,2075
0,0,14,0,0,0,14,2076
0,0,9,0,0,2,11,2077
3,0,6,2,1,7,19,2078
3,2,7,1,1,5,19,2081
6,3,4,0,1,6,20,2082
1,0,11,1,0,2,15,2083
2,1,1,1,0,2,7,2084
4,1,6,3,3,6,23,2086
4,1,2,0,0,3,10,2087
1,0,7,1,1,1,11,2089
0,0,1,1,1,0,3,2091
3,0,5,1,0,4,13,2094
0,0,2,1,0,1,4,2095
1,0,8,0,0,2,11,2096
2,1,11,0,0,1,15,2097
1,0,4,1,1,0,7,2098
1,0,6,0,1,2,10,2099
3,0,8,2,0,9,22,2100
1,0,12,0,0,2,15,2102
0,0,5,0,0,3,8,2103
5,0,5,1,1,5,17,2108
4,1,4,1,1,2,13,2109
7,1,7,2,0,9,26,2110
1,0,8,1,0,4,14,2111
2,0,6,1,0,4,13,2112
3,0,7,2,0,8,20,2113
2,0,4,0,0,2,8,2114
2,0,10,2,3,7,24,2115
0,0,10,1,0,2,13,2116
4,2,5,0,2,6,19,2117
5,0,5,3,0,7,20,2118
4,0,6,2,1,4,17,2119
0,0,10,1,0,3,14,2121
0,0,3,0,0,0,3,2122
3,0,6,1,1,3,14,2123
4,1,8,0,0,5,18,2125
3,1,4,3,1,6,18,2126
1,0,12,0,0,5,18,2128
1,1,5,2,2,4,15,2129
0,1,6,2,1,4,14,2131
0,0,16,0,1,1,18,2133
0,0,10,1,0,2,13,2134
0,0,10,0,0,1,11,2136
1,1,2,1,0,4,9,2138
0,0,9,0,0,1,10,2139
8,2,7,1,2,7,27,2141
6,4,5,1,1,9,26,2142
0,0,11,0,0,2,13,2144
7,2,6,1,2,8,26,2145
4,2,6,4,0,8,24,2146
2,1,6,1,1,4,15,2148
4,0,7,0,0,2,13,2149
5,1,3,0,1,3,13,2150
4,0,12,4,2,3,25,2153
1,0,5,1,1,4,12,2154
6,3,5,0,1,4,19,2157
3,2,9,2,1,3,20,2158
1,0,4,0,0,4,9,2159
4,1,5,1,0,4,15,2160
4,0,7,3,1,2,17,2161
4,2,8,2,1,2,19,2163
1,0,9,0,1,3,14,2164
1,0,9,0,1,3,14,2169
1,0,9,0,1,3,14,2171
4,0,8,2,0,6,20,2172
1,0,5,0,0,5,11,2173
1,0,9,0,1,3,14,2174
2,1,4,1,1,0,9,2175
3,0,8,4,0,6,21,2176
1,0,6,3,2,3,15,2177
1,0,9,0,1,3,14,2179
1,1,5,6,0,6,19,2181
4,0,10,0,1,4,19,2183
3,1,9,1,1,4,19,2186
1,0,6,0,0,5,12,2188
1,0,5,0,0,5,11,2189
1,0,9,0,1,3,14,2190
2,2,5,3,0,5,17,2191
1,0,9,0,1,3,14,2192
1,0,6,0,0,5,12,2193
4,1,2,0,0,2,9,2194
1,0,9,2,0,8,20,2195
1,0,6,0,0,5,12,2198
2,1,7,3,3,7,23,2203
1,1,6,5,1,6,20,2204
1,0,5,2,0,2,10,2205
1,0,8,2,3,6,20,2207
1,0,8,0,0,2,11,2209
2,0,15,0,0,4,21,2210
1,0,9,0,0,3,13,2211
0,0,11,1,0,5,17,2212
0,0,9,2,0,1,12,2213
2,0,6,2,1,3,14,2214
2,0,10,0,2,4,18,2215
2,0,15,0,0,4,21,2216
3,1,8,1,1,4,18,2217
0,0,12,0,0,0,12,2219
0,0,13,1,0,3,17,2220
2,0,6,1,0,1,10,2221
4,0,10,0,0,5,19,2222
0,0,21,0,0,0,21,2225
1,0,8,0,0,2,11,2227
2,0,10,1,2,2,17,2229
2,1,9,1,1,4,18,2230
3,0,7,0,1,3,14,2231
2,0,12,0,0,6,20,2233
5,1,6,3,0,6,21,2235
0,0,11,0,0,1,12,2236
2,0,9,2,2,2,17,2237
2,0,12,0,0,6,20,2238
1,2,8,0,0,5,16,2239
2,0,10,1,2,2,17,2240
0,0,7,1,0,4,12,2241
2,0,6,0,1,2,11,2242
3,0,8,1,1,6,19,2244
2,2,8,0,2,8,22,2245
5,4,5,0,1,6,21,2246
0,0,11,0,0,5,16,2248
1,0,7,0,0,2,10,2250
1,0,9,1,0,6,17,2251
1,0,12,1,1,4,19,2254
1,0,4,3,0,3,11,2255
2,0,5,0,0,3,10,2256
1,0,11,2,1,6,21,2257
7,3,7,2,1,8,28,2258
4,3,6,1,0,9,23,2260
3,3,1,0,0,4,11,2262
2,3,3,1,0,4,13,2263
2,0,3,1,1,4,11,2265
3,2,1,1,0,4,11,2266
2,0,9,1,0,8,20,2267
3,0,7,0,0,3,13,2271
6,1,5,0,0,5,17,2272
2,1,2,0,0,4,9,2273
4,0,6,1,1,11,23,2274
0,0,4,0,0,2,6,2275
2,2,1,0,0,2,7,2277
3,2,11,0,0,3,19,2278
5,1,4,1,3,11,25,2279
2,2,4,0,1,5,14,2280
2,2,1,0,0,2,7,2281
4,2,3,0,3,5,17,2282
2,0,4,0,0,3,9,2284
3,0,7,0,0,3,13,2285
3,2,3,0,0,4,12,2286
2,0,6,1,0,4,13,2288
2,0,13,1,0,6,22,2289
2,0,12,1,0,8,23,2292
5,2,6,1,3,10,27,2294
0,0,8,1,0,0,9,2296
3,0,7,1,0,7,18,2297
5,2,3,1,3,10,24,2298
4,3,4,2,1,8,22,2299
3,1,11,0,4,4,23,2300
4,2,12,2,0,5,25,2301
1,2,10,0,1,6,20,2303
0,0,7,0,0,1,8,2304
1,0,5,2,0,1,9,2306
4,0,4,1,2,8,19,2307
4,1,5,1,2,5,18,2308
1,0,6,2,0,1,10,2309
3,0,11,0,0,5,19,2311
5,3,3,3,1,7,22,2312
0,0,8,0,0,3,11,2314
2,0,8,2,0,4,16,2315
3,3,5,1,0,7,19,2317
5,2,4,1,0,7,19,2318
3,0,7,1,0,6,17,2319
3,0,12,0,0,3,18,2321
2,0,4,2,1,3,12,2324
2,1,4,0,2,3,12,2325
2,2,7,1,0,1,13,2327
0,0,10,0,0,1,11,2329
2,0,6,1,0,5,14,2330
0,0,5,0,0,0,5,2332
2,2,5,0,0,1,10,2333
0,0,9,0,0,4,13,2334
2,1,10,2,1,8,24,2336
0,0,5,0,0,0,5,2337
6,3,12,1,0,9,31,2339
4,1,5,0,0,3,13,2340
1,0,9,2,0,2,14,2341
1,1,4,0,0,5,11,2342
1,0,12,1,0,3,17,2346
2,2,3,0,1,1,9,2347
2,0,7,0,0,3,12,2348
0,0,12,1,0,1,14,2349
1,0,7,0,0,1,9,2350
0,0,13,2,0,1,16,2351
2,0,1,1,0,2,6,2352
6,4,11,3,1,3,28,2354
3,1,11,4,0,2,21,2356
6,5,6,1,0,8,26,2358
5,0,7,3,0,6,21,2359
1,0,14,1,1,1,18,2361
3,2,6,0,0,4,15,2362
3,1,2,2,3,6,17,2363
3,0,6,2,0,8,19,2364
4,1,10,2,2,5,24,2366
1,0,4,0,0,3,8,2367
4,2,6,1,0,10,23,2368
2,0,13,1,0,4,20,2370
2,2,4,1,0,6,15,2372
1,1,5,0,0,0,7,2373
3,0,6,2,0,8,19,2374
5,2,6,1,1,5,20,2375
2,2,2,0,1,2,9,2376
2,0,6,2,0,7,17,2377
5,3,8,0,1,3,20,2379
4,0,8,3,0,6,21,2382
5,3,8,0,1,3,20,2385
5,3,5,2,2,11,28,2386
2,0,1,0,1,2,6,2387
1,0,10,1,1,1,14,2388
7,4,5,0,1,7,24,2389
7,2,7,2,1,7,26,2390
5,2,4,0,0,3,14,2391
3,3,2,2,2,1,13,2394
2,0,4,1,1,1,9,2395
2,1,3,3,2,0,11,2396
4,1,2,1,1,2,11,2397
2,0,4,1,2,2,11,2398
5,4,1,3,4,3,20,2399
5,3,8,0,1,3,20,2400
1,0,2,0,0,0,3,2402
1,1,16,2,0,4,24,2406
3,1,6,1,0,8,19,2408
2,2,1,0,1,1,7,2409
1,3,4,0,3,5,16,2410
2,0,6,0,3,8,19,2412
2,0,2,0,2,1,7,2413
1,0,11,0,0,6,18,2414
2,0,10,3,1,4,20,2415
3,1,5,1,2,7,19,2416
3,1,2,0,2,1,9,2417
2,1,3,0,0,2,8,2418
0,0,9,0,0,1,10,2419
